KazaName,kazcode,Sanjak,sancode,Vilayet,vilcode,Muslims_Female,Muslims_Male,Greeks_Female,Greeks_Male,Armenians_Female,Armenians_Male,Bulgarians_Female,Bulgarians_Male,Catholics_Female,Catholics_Male,Jews_Female,Jews_Male,Protestants_Female,Protestants_Male,Latins_Female,Latins_Male,Monophysites_Female,Monophysites_Male,NonMuslimGypsies_Female,NonMuslimGypsies_Male,ForeignCitizens_Female,ForeignCitizens_Male,Total_Muslim,Total_Christian,Total_NonMuslim,Total_Armenian,Christian_Muslim_Ratio,Armenian_Muslim_Ratio,ArmenianShare,ChristianShare,Total_Female,Total_Male,GrandTotal,Source,SanjakCenter
Adana Central Kaza,1-1-1,Adana,1-1,Adana,1,26709.0,31340.0,712.0,893.0,4336.0,5276.0,,,306.0,342.0,,,304.0,332.0,,,39.0,76.0,,,,,58049.0,12616,12616,9612,0.21733363193164396,0.1655842477906596,0.1360220759923583,0.17853251255925848,32406.0,38259.0,70665.0,1881 Census,1
Karaisali Kaza,1-1-2,Adana,1-1,Adana,1,10090.0,11505.0,,,20.0,19.0,,,,,,,,,,,,,,,,,21595.0,39,39,39,0.0018059736050011577,0.0018059736050011577,0.001802717943977073,0.001802717943977073,10110.0,11524.0,21634.0,1881 Census,0
Mersin Kaza,1-1-3,Adana,1-1,Adana,1,9707.0,10030.0,505.0,697.0,121.0,309.0,,,131.0,166.0,,,,,,,,,,,,,19737.0,1929,1929,430,0.09773521811825506,0.02178649237472767,0.019846764515831256,0.08903350872334534,10464.0,11202.0,21666.0,1881 Census,0
Tarsus Kaza,1-1-4,Adana,1-1,Adana,1,19023.0,20839.0,281.0,365.0,470.0,704.0,,,139.0,156.0,,,94.0,88.0,,,,,,,,,39862.0,2297,2297,1174,0.0576238021173047,0.02945160804776479,0.02782056446835233,0.05443256949216806,20007.0,22192.0,42199.0,1881 Census,0
(Osmaniye) Barpuz Kaza,1-4-1,Cebelibereket,1-4,Adana,1,1432.0,1588.0,,,147.0,210.0,,,,,,,,,,,,,,,,,3020.0,357,357,357,0.11821192052980133,0.11821192052980133,0.1057151317737637,0.1057151317737637,1579.0,1798.0,3377.0,1881 Census,1
Bulanik (Bahçe) Kaza,1-4-2,Cebelibereket,1-4,Adana,1,4251.0,4496.0,,,911.0,1122.0,,,,,,,140.0,144.0,,,,,,,,,8747.0,2317,2317,2033,0.2648908197096147,0.23242254487252773,0.18374909616775126,0.20941793203181489,5302.0,5762.0,11064.0,1881 Census,0
Hassa Kaza,1-4-3,Cebelibereket,1-4,Adana,1,2923.0,4157.0,14.0,11.0,136.0,154.0,,,69.0,81.0,,,58.0,72.0,,,,,,,,,7080.0,595,595,290,0.08403954802259887,0.04096045197740113,0.03778501628664495,0.07752442996742671,3200.0,4975.0,7675.0,1881 Census,0
İslahiye Kaza,1-4-4,Cebelibereket,1-4,Adana,1,3819.0,4536.0,,,118.0,175.0,,,,,,,,,,,,,,,,,8355.0,293,293,293,0.0350688210652304,0.0350688210652304,0.033880666049953746,0.033880666049953746,3937.0,4711.0,8648.0,1881 Census,0
Osmaniye Kaza,1-4-5,Cebelibereket,1-4,Adana,1,3634.0,4129.0,,,39.0,61.0,,,,,,,,,,,,,,,,,7763.0,100,100,100,0.012881617931212161,0.012881617931212161,0.012717792191275595,0.012717792191275595,3673.0,4190.0,7863.0,1881 Census,0
Payas Kaza,1-4-6,Cebelibereket,1-4,Adana,1,6266.0,6941.0,55.0,70.0,1655.0,1843.0,,,,,,,,,,,,,,,,,13207.0,3623,3623,3498,0.274324222003483,0.26485954418111607,0.20784313725490197,0.21527035056446822,7976.0,8854.0,16830.0,1881 Census,0
