NameofKaza,kazcode,NameofSanjak,sancode,NameofVilayet,vilcode,Muslims_Female,Muslims_Male,Greeks_Female,Greeks_Male,Armenians_Female,Armenians_Male,Bulgarians_Female,Bulgarians_Male,Catholics_Female,Catholics_Male,Jews_Female,Jews_Male,Protestants_Female,Protestants_Male,Latins_Female,Latins_Male,Monophysites_Female,Monophysites_Male,NonMuslimGypsies_Female,NonMuslimGypsies_Male,ForeignCitizens_Female,ForeignCitizens_Male,Total_Muslim,Total_Christian,Total_NonMuslim,Total_Armenian,Christian_Muslim_Ratio,Armenian_Muslim_Ratio,ArmenianShare,ChristianShare,Total_Female,Total_Male,GrandTotal,Source,CentralKazaDummy,AP,FID,Id,Vilayet,Sanjak,kaza,_merge
Adana Central Kaza,1-1-1,Adana Sanjak,1-1,Adana Vilayet,1.0,26709.0,31340.0,712.0,893.0,4336.0,5276.0,,,306.0,342.0,,,304.0,332.0,,,39.0,76.0,,,,,58049.0,12616.0,12616.0,9612.0,0.2173336319,0.1655842478,0.136022076,0.1785325126,32406.0,38259.0,70665.0,1881 Census,1.0,"replace kazcode=""1-1-1"" if kaza==""Adana Central Kaza""",98.0,0,Adana,Adana,AdanaMerkez Kaza,3
Karaisali Kaza,1-1-2,Adana Sanjak,1-1,Adana Vilayet,1.0,10090.0,11505.0,,,20.0,19.0,,,,,,,,,,,,,,,,,21595.0,39.0,39.0,39.0,0.001805973605,0.001805973605,0.001802717944,0.001802717944,10110.0,11524.0,21634.0,1881 Census,0.0,"replace kazcode=""1-1-2"" if kaza==""Karaisali Kaza""",99.0,0,Adana,Adana,Karaisali Kaza,3
Mersin Kaza,1-1-3,Adana Sanjak,1-1,Adana Vilayet,1.0,9707.0,10030.0,505.0,697.0,121.0,309.0,,,131.0,166.0,,,,,,,,,,,,,19737.0,1929.0,1929.0,430.0,0.09773521812,0.02178649237,0.01984676452,0.08903350872,10464.0,11202.0,21666.0,1881 Census,0.0,"replace kazcode=""1-1-3"" if kaza==""Mersin Kaza""",101.0,0,Adana,Adana,Mersin Kaza,3
Tarsus Kaza,1-1-4,Adana Sanjak,1-1,Adana Vilayet,1.0,19023.0,20839.0,281.0,365.0,470.0,704.0,,,139.0,156.0,,,94.0,88.0,,,,,,,,,39862.0,2297.0,2297.0,1174.0,0.05762380212,0.02945160805,0.02782056447,0.05443256949,20007.0,22192.0,42199.0,1881 Census,0.0,"replace kazcode=""1-1-4"" if kaza==""Tarsus Kaza""",100.0,0,Adana,Adana,Tarsus Kaza,3
Feke Kaza,1-2-1,Kozan Sanjak,1-2,Adana Vilayet,1.0,4497.0,5299.0,544.0,600.0,821.0,1015.0,,,,,,,59.0,84.0,,,,,,,,,9796.0,3123.0,3123.0,1836.0,0.3188035933,0.1874234381,0.1421162629,0.2417369765,5921.0,6998.0,12919.0,1881 Census,0.0,"replace kazcode=""1-2-1"" if kaza==""Feke Kaza""",96.0,0,Adana,Kozan,Feke Kaza,3
Kadirli Kaza,1-2-2,Kozan Sanjak,1-2,Adana Vilayet,1.0,6665.0,7444.0,,,351.0,369.0,,,,,,,,,,,,,,,,,14109.0,720.0,720.0,720.0,0.05103125664,0.05103125664,0.04855351001,0.04855351001,7016.0,7813.0,14829.0,1881 Census,0.0,"replace kazcode=""1-2-2"" if kaza==""Kadirli Kaza""",94.0,0,Adana,Kozan,Kadirli Kaza,3
Kozan Kaza,1-2-3,Kozan Sanjak,1-2,Adana Vilayet,1.0,8679.0,9659.0,,,6645.0,7381.0,,,27.0,29.0,,,42.0,45.0,,,,,,,,,18338.0,14169.0,14169.0,14026.0,0.7726578689,0.7648598539,0.4314762974,0.4358753499,15393.0,17114.0,32507.0,1881 Census,1.0,"replace kazcode=""1-2-3"" if kaza==""Kozan Kaza""",97.0,0,Adana,Kozan,Sis Kaza,3
Sayimbeyli (Haçin) Kaza,1-2-4,Kozan Sanjak,1-2,Adana Vilayet,1.0,6141.0,6885.0,,,4907.0,5297.0,,,73.0,72.0,,,331.0,351.0,,,,,,,,,13026.0,11031.0,11031.0,10204.0,0.846844772,0.7833563642,0.4241592884,0.4585359771,11452.0,12605.0,24057.0,1881 Census,0.0,"replace kazcode=""1-2-4"" if kaza==""Sayimbeyli (Haçin) Kaza""",95.0,0,Adana,Kozan,Hacin Kaza,3
Anamur Kaza,1-3-1,İçel Sanjak,1-3,Adana Vilayet,1.0,10674.0,11883.0,145.0,185.0,,,,,,,,,,,,,,,,,,,22557.0,330.0,330.0,0.0,0.014629605,0.0,0.0,0.003286328872,49872.0,50544.0,100416.0,1881 Census,,"replace kazcode=""1-3-1"" if kaza==""Anamur Kaza""",106.0,0,Adana,Icel,Anamur Kaza,3
Ermenek Kaza,1-3-2,İçel Sanjak,1-3,Adana Vilayet,1.0,12309.0,11723.0,,3.0,21.0,35.0,,,,,,,,,,,,,,,,,24032.0,59.0,59.0,56.0,0.00245505992,0.002330226365,0.003378582202,0.003559577677,8251.0,8324.0,16575.0,1881 Census,,"replace kazcode=""1-3-2"" if kaza==""Ermenek Kaza""",105.0,0,Adana,Icel,Ermenek Kaza,3
