NameofKaza,sanjak,kazcode,NameofSanjak,sancode,NameofVilayet,vilcode,MaleIptidaiSchoolsDistributio,FemaleIbtidaiSchools1902190,MaleRusdiyyeSchools1876,MaleRusdiyyeSchools19021908,FemaleRusdiyyeSchools190219
Adana Central Kaza,Adana Sanjak-1,1-1-1,Adana Sanjak,1-1,Adana Vilayet,1.0,1.0,1.0,0.75,0.66,0.33
"Hamidiye, Ceyhan",,,,,,,1.0,1.0,0.75,0.66,0.33
Karaisali Kaza,Adana Sanjak-1,1-1-2,Adana Sanjak,1-1,Adana Vilayet,1.0,1.0,1.0,0.75,0.66,0.33
Mersin Kaza,Adana Sanjak-1,1-1-3,Adana Sanjak,1-1,Adana Vilayet,1.0,0.0,1.0,0.75,1.5,0.5
Tarsus Kaza,Adana Sanjak-1,1-1-4,Adana Sanjak,1-1,Adana Vilayet,1.0,1.0,1.0,0.75,0.66,0.33
(Osmaniye) Barpuz Kaza,Cebelibereket Sanjak-1,1-4-1,Cebelibereket Sanjak,1-4,Adana Vilayet,1.0,0.33,0.33,0.0,0.16,0.0
Bulanik (Bahçe) Kaza,Cebelibereket Sanjak-1,1-4-2,Cebelibereket Sanjak,1-4,Adana Vilayet,1.0,0.33,0.33,0.0,0.16,0.0
Hassa Kaza,Cebelibereket Sanjak-1,1-4-3,Cebelibereket Sanjak,1-4,Adana Vilayet,1.0,0.33,0.33,0.0,0.16,0.0
İslahiye Kaza,Cebelibereket Sanjak-1,1-4-4,Cebelibereket Sanjak,1-4,Adana Vilayet,1.0,0.33,0.33,0.0,0.16,0.0
Osmaniye Kaza,Cebelibereket Sanjak-1,1-4-5,Cebelibereket Sanjak,1-4,Adana Vilayet,1.0,0.33,0.33,0.0,0.16,0.0
Payas Kaza,Cebelibereket Sanjak-1,1-4-6,Cebelibereket Sanjak,1-4,Adana Vilayet,1.0,0.33,0.33,0.0,0.16,0.0
Anamur Kaza,İçel Sanjak-1,1-3-1,İçel Sanjak,1-3,Adana Vilayet,1.0,0.0,0.0,0.5,0.8,0.0
Ermenek Kaza,İçel Sanjak-1,1-3-2,İçel Sanjak,1-3,Adana Vilayet,1.0,0.0,0.0,0.5,0.8,0.0
Gülnar Kaza,İçel Sanjak-1,1-3-3,İçel Sanjak,1-3,Adana Vilayet,1.0,0.0,0.0,0.5,0.8,0.0
Mut Kaza,İçel Sanjak-1,1-3-4,İçel Sanjak,1-3,Adana Vilayet,1.0,0.0,0.0,0.5,0.8,0.0
Silifke Kaza,İçel Sanjak-1,1-3-5,İçel Sanjak,1-3,Adana Vilayet,1.0,0.0,0.0,0.5,0.8,0.0
Feke Kaza,Kozan Sanjak-1,1-2-1,Kozan Sanjak,1-2,Adana Vilayet,1.0,0.25,0.25,0.25,0.6,0.0
Kadirli Kaza,Kozan Sanjak-1,1-2-2,Kozan Sanjak,1-2,Adana Vilayet,1.0,0.25,0.25,0.25,0.6,0.0
Kozan Kaza,Kozan Sanjak-1,1-2-3,Kozan Sanjak,1-2,Adana Vilayet,1.0,0.25,0.25,0.25,0.6,0.0
Sayimbeyli (Haçin) Kaza,Kozan Sanjak-1,1-2-4,Kozan Sanjak,1-2,Adana Vilayet,1.0,0.25,0.25,0.25,0.6,0.0
Ankara Central Kaza,Ankara Sanjak-1,6-1-1,Ankara Sanjak,6-1,Ankara Vilayet,6.0,9.8,8.5,0.55,0.7,0.1
Ayaş Kaza,Ankara Sanjak-1,6-1-2,Ankara Sanjak,6-1,Ankara Vilayet,6.0,9.8,8.5,0.55,0.7,0.1
Bâlâ Kaza,Ankara Sanjak-1,6-1-3,Ankara Sanjak,6-1,Ankara Vilayet,6.0,9.8,8.5,0.55,0.7,0.1
Beypazarı Kaza,Ankara Sanjak-1,6-1-4,Ankara Sanjak,6-1,Ankara Vilayet,6.0,9.8,8.5,0.55,0.7,0.1
Çubuk Kaza,Ankara Sanjak-1,6-1-5,Ankara Sanjak,6-1,Ankara Vilayet,6.0,9.8,8.5,0.55,0.7,0.1
Haymana Kaza,Ankara Sanjak-1,6-1-6,Ankara Sanjak,6-1,Ankara Vilayet,6.0,9.8,8.5,0.55,0.7,0.1
Kalecik Kaza,Ankara Sanjak-1,6-1-7,Ankara Sanjak,6-1,Ankara Vilayet,6.0,9.8,8.5,0.55,0.7,0.1
Kuyucak Kaza,Ankara Sanjak-1,6-1-8,Ankara Sanjak,6-1,Ankara Vilayet,6.0,9.8,8.5,0.55,0.7,0.1
Nallihan Kaza,Ankara Sanjak-1,6-1-9,Ankara Sanjak,6-1,Ankara Vilayet,6.0,9.8,8.5,0.55,0.7,0.1
